claim_id	metric	value	unit	scope	qualification	source_record
LAB-A09-001	normal_binary_sha256	6b08a7925022c6a03813660c69d0b0bd1ed98a377ac9c1136dd987e3d4c8f85e	sha256	Normal optimized binary from cumulative source 7b31a5fe5cb966c9146b99d5ca1ad81ea9c81cdb	Exact control identity for LTO and PGO comparisons	benchmarks/labs/A09/20260723/lto-uncompressed-96-five-pair-20260723T213312Z/contract.json; benchmarks/labs/A09/20260723/pgo-uncompressed-96-five-pair-20260723T231627Z/contract.json
LAB-A09-002	lto_binary_sha256	59f6a4b2f8733f15203f8b2dd5cfeeac956b53cf78e8fa57a3ed78c44b7a884f	sha256	Same source built with GCC 13.3.0 and link-time optimization	Exact LTO candidate identity	benchmarks/labs/A09/20260723/lto-uncompressed-96-five-pair-20260723T213312Z/contract.json
LAB-A09-003	pgo_use_binary_sha256	ba0298802a667ff02f2f07965045aa116ea67b920b588b6ff2652d70e4c56b87	sha256	Same source built with GCC 13.3.0 and profile use	Exact PGO candidate identity	benchmarks/labs/A09/20260723/pgo-uncompressed-96-five-pair-20260723T231627Z/contract.json
LAB-A09-004	normal_lto_pgo_binary_sizes	3572528 / 2948544 / 2781080	bytes	Exact normal, LTO, and PGO-use binaries	LTO and PGO-use were 17.47 and 22.15 percent smaller; size is not an acceptance metric	benchmarks/labs/A09/20260723/builds/
LAB-A09-005	lto_normal_and_candidate_median_wall_times	55.75 / 55.32	seconds	GRCh38, 12,768,316 public paired reads, uncompressed local SSD, 96 logical CPUs, five seeded order-balanced pairs	Administratively dedicated host; quiet wait explicitly waived	benchmarks/labs/A09/20260723/lto-uncompressed-96-five-pair-20260723T213312Z/result.json
LAB-A09-006	lto_median_paired_improvement	1.2143	percent	Same five order-balanced full-corpus pairs	Below the 2 percent practical performance gate	benchmarks/labs/A09/20260723/lto-uncompressed-96-five-pair-20260723T213312Z/result.json
LAB-A09-007	lto_bootstrap_95_interval	0.6462 to 3.2878	percent	Same five order-balanced full-corpus pairs	Positive interval establishes a small effect but does not override the practical gate	benchmarks/labs/A09/20260723/lto-uncompressed-96-five-pair-20260723T213312Z/result.json
LAB-A09-008	lto_baseline_and_candidate_cv	1.1876 / 1.2132	percent	Same five order-balanced full-corpus pairs	Both arms pass the 3 percent variability gate	benchmarks/labs/A09/20260723/lto-uncompressed-96-five-pair-20260723T213312Z/result.json
LAB-A09-009	lto_median_rss_change	0.0054	percent	Same five order-balanced full-corpus pairs	Resource gate passed	benchmarks/labs/A09/20260723/lto-uncompressed-96-five-pair-20260723T213312Z/result.json
LAB-A09-010	lto_correctness_comparisons	5/5	pair comparisons	Same five order-balanced full-corpus pairs	Timing-independent final metrics, junctions, and gene counts passed	benchmarks/labs/A09/20260723/lto-uncompressed-96-five-pair-20260723T213312Z/pairs.tsv
LAB-A09-011	pgo_training_wall_time	1:20:21	hours:minutes:seconds	Complete public full-corpus alignment with the instrumented binary at 96 logical CPUs	Training completed successfully; not an alignment performance claim	benchmarks/labs/A09/20260723/pgo-training-full-uncompressed-20260723T2148Z/time.txt
LAB-A09-012	pgo_training_user_cpu	457535.72	CPU seconds	Same complete PGO training run	Instrumented training cost	benchmarks/labs/A09/20260723/pgo-training-full-uncompressed-20260723T2148Z/time.txt
LAB-A09-013	pgo_training_peak_rss	37676568	KiB	Same complete PGO training run	Instrumented training resource use	benchmarks/labs/A09/20260723/pgo-training-full-uncompressed-20260723T2148Z/time.txt
LAB-A09-014	pgo_profile_files_and_footprint	163 / 1.1	files / MiB	Profile data emitted by the complete training run	Profile accepted by a build with missing-profile and coverage-mismatch warnings promoted to errors	benchmarks/labs/A09/20260723/blackstar-a09-pgo-20260723T2145Z/
LAB-A09-015	pgo_normal_and_candidate_median_wall_times	55.89 / 55.20	seconds	GRCh38, 12,768,316 public paired reads, uncompressed local SSD, 96 logical CPUs, five seeded order-balanced pairs	Administratively dedicated host; quiet wait explicitly waived	benchmarks/labs/A09/20260723/pgo-uncompressed-96-five-pair-20260723T231627Z/result.json
LAB-A09-016	pgo_median_paired_improvement	1.1988	percent	Same five order-balanced full-corpus pairs	Below the 2 percent practical performance gate	benchmarks/labs/A09/20260723/pgo-uncompressed-96-five-pair-20260723T231627Z/result.json
LAB-A09-017	pgo_bootstrap_95_interval	0.5712 to 4.2735	percent	Same five order-balanced full-corpus pairs	Positive interval establishes a small effect but does not override the practical gate	benchmarks/labs/A09/20260723/pgo-uncompressed-96-five-pair-20260723T231627Z/result.json
LAB-A09-018	pgo_baseline_and_candidate_cv	1.1480 / 0.5499	percent	Same five order-balanced full-corpus pairs	Both arms pass the 3 percent variability gate	benchmarks/labs/A09/20260723/pgo-uncompressed-96-five-pair-20260723T231627Z/result.json
LAB-A09-019	pgo_median_rss_change	-0.0054	percent	Same five order-balanced full-corpus pairs	Negative is lower candidate peak RSS; resource gate passed	benchmarks/labs/A09/20260723/pgo-uncompressed-96-five-pair-20260723T231627Z/result.json
LAB-A09-020	pgo_correctness_comparisons	5/5	pair comparisons	Same five order-balanced full-corpus pairs	Timing-independent final metrics, junctions, and gene counts passed	benchmarks/labs/A09/20260723/pgo-uncompressed-96-five-pair-20260723T231627Z/pairs.tsv
