claim_id	metric	value	unit	scope	qualification	source_record
LAB-Q01-001	qualified_release_benchmark_binary_sha256	115e4964990b91292f16e163c1a5fd694d5575cbe1b9ef3be342852eb91bed6a	sha256	Exact blackstar.1 control binary used in every Q01 pair	Qualified release identity	benchmarks/labs/Q01/20260723/qualification-receipt.tsv
LAB-Q01-002	cumulative_benchmark_binary_sha256	6b08a7925022c6a03813660c69d0b0bd1ed98a377ac9c1136dd987e3d4c8f85e	sha256	Exact cumulative H01, A02, A05, and A06 binary used in every Q01 pair	Qualified Labs candidate identity; not promoted	benchmarks/labs/Q01/20260723/qualification-receipt.tsv
LAB-Q01-003	private_uncompressed_release_and_candidate_median_wall_times	84.28 / 56.17	seconds	GRCh38, 12,768,316 public paired reads, uncompressed local SSD, 96 logical CPUs, three seeded order-balanced pairs	Administratively dedicated host; quiet wait explicitly waived	benchmarks/labs/Q01/20260723/private-uncompressed-96-three-pair-20260723T2348Z/result.json
LAB-Q01-004	private_uncompressed_median_paired_improvement	33.2025	percent	Same three order-balanced full-corpus pairs	Cumulative performance gate passed	benchmarks/labs/Q01/20260723/private-uncompressed-96-three-pair-20260723T2348Z/result.json
LAB-Q01-005	private_uncompressed_bootstrap_95_interval	33.0802 to 35.8089	percent	Same three order-balanced full-corpus pairs	Positive paired interval	benchmarks/labs/Q01/20260723/private-uncompressed-96-three-pair-20260723T2348Z/result.json
LAB-Q01-006	private_uncompressed_release_and_candidate_cv	1.8120 / 0.5874	percent	Same three order-balanced full-corpus pairs	Both arms passed the 3 percent variability gate	benchmarks/labs/Q01/20260723/private-uncompressed-96-three-pair-20260723T2348Z/result.json
LAB-Q01-007	private_uncompressed_median_peak_rss_change	-6.8126	percent	Same three order-balanced full-corpus pairs	Negative is lower candidate peak RSS; resource gate passed	benchmarks/labs/Q01/20260723/private-uncompressed-96-three-pair-20260723T2348Z/result.json
LAB-Q01-008	private_uncompressed_correctness_comparisons	3/3	pair comparisons	Same three order-balanced full-corpus pairs	Timing-independent final metrics, junctions, and gene counts passed	benchmarks/labs/Q01/20260723/private-uncompressed-96-three-pair-20260723T2348Z/pairs.tsv
LAB-Q01-009	private_compressed_release_and_candidate_median_wall_times	90.61 / 64.03	seconds	Same public corpus through zcat, local SSD, 96 logical CPUs, three seeded order-balanced pairs	Administratively dedicated host; quiet wait explicitly waived	benchmarks/labs/Q01/20260723/private-compressed-96-three-pair-20260723T2358Z/result.json
LAB-Q01-010	private_compressed_median_paired_improvement	28.5399	percent	Same three order-balanced compressed-input pairs	Cumulative compressed-input performance gate passed	benchmarks/labs/Q01/20260723/private-compressed-96-three-pair-20260723T2358Z/result.json
