claim_id	metric	value	unit	scope	qualification	source_record
LAB-A02B-001	post_a02_aggregate_mapping_concurrency	94.1601	equivalent CPUs	GRCh38, 12,768,316 public paired reads, uncompressed FASTQ on local SSD, 96 logical CPUs, diagnostic build	All 96 workers mapped; diagnostic attribution only, not a speed claim	benchmarks/labs/A02b/20260723/full-default-20260723T1717Z/diagnostics.json
LAB-A02B-002	post_a02_input_lock_wait_capacity	0.7468	equivalent workers	Same diagnostic run	Aggregate lock wait divided by the measured mapping interval; below one worker-equivalent	benchmarks/labs/A02b/20260723/full-default-20260723T1717Z/diagnostics.json
LAB-A02B-003	post_a02_active_worker_finish_spread	0.3593	seconds	Same diagnostic run	Completion-tail attribution; no queue implementation was stacked	benchmarks/labs/A02b/20260723/full-default-20260723T1717Z/diagnostics.json
LAB-A02B-004	default_and_external_interleave_mapping_intervals	34.6260 / 23.2992	seconds	Same instrumented binary and public corpus; one run under each memory policy	Mechanism screen only; single runs do not support an accepted performance claim	benchmarks/labs/A02b/20260723/full-default-20260723T1717Z/diagnostics.json; benchmarks/labs/A02b/20260723/full-interleave-20260723T1720Z/diagnostics.json
LAB-A02B-005	default_and_external_interleave_minor_faults	18023293 / 9464316	minor faults	Same one-run memory-policy screen	Mechanism screen only; motivated paired A05 testing	benchmarks/labs/A02b/20260723/full-default-20260723T1717Z/time.txt; benchmarks/labs/A02b/20260723/full-interleave-20260723T1720Z/time.txt
LAB-A05-001	accepted_candidate_binary_sha256	34cd427eb9942adc9c188fef417d02840edfca8e2761861e7ef6e53863d40be2	sha256	Exact A05 binary built from commit 91de89210ed936d162ef6f7ad69984b0752e1641	Fixes the candidate identity for every exact A05 gate	benchmarks/labs/A05/20260723/uncompressed-96-three-pair-exact-20260723T182707Z/pair-01-2-candidate/provenance.tsv
LAB-A05-002	primary_a02_median_wall_time	74.01	seconds	GRCh38, 12,768,316 public paired reads, uncompressed FASTQ on local SSD, 96 logical CPUs, three seeded order-balanced pairs	Exact accepted A02 runtime parent	benchmarks/labs/A05/20260723/uncompressed-96-three-pair-exact-20260723T182707Z/result.json
LAB-A05-003	primary_a05_median_wall_time	57.35	seconds	Same three order-balanced full-corpus pairs	Exact A05 commit 91de89210ed936d162ef6f7ad69984b0752e1641	benchmarks/labs/A05/20260723/uncompressed-96-three-pair-exact-20260723T182707Z/result.json
LAB-A05-004	primary_median_paired_improvement	22.5105	percent	Same three order-balanced full-corpus pairs	Passes the predeclared 2 percent end-to-end performance gate	benchmarks/labs/A05/20260723/uncompressed-96-three-pair-exact-20260723T182707Z/result.json
LAB-A05-005	primary_bootstrap_95_interval	21.3818 to 23.5588	percent	Same three order-balanced full-corpus pairs	Paired bootstrap interval over the three measured improvements	benchmarks/labs/A05/20260723/uncompressed-96-three-pair-exact-20260723T182707Z/result.json
LAB-A05-006	primary_baseline_and_candidate_cv	0.6274 / 0.8765	percent	Same three order-balanced full-corpus pairs	Both arms pass the predeclared 3 percent replicate-variability gate	benchmarks/labs/A05/20260723/uncompressed-96-three-pair-exact-20260723T182707Z/result.json
LAB-A05-007	primary_median_rss_change	-0.1304	percent	Same three order-balanced full-corpus pairs	Negative is lower candidate peak RSS; resource gate passed	benchmarks/labs/A05/20260723/uncompressed-96-three-pair-exact-20260723T182707Z/result.json
LAB-A05-008	primary_correctness_comparisons	3/3	pair comparisons	Same three order-balanced full-corpus pairs	Timing-independent metrics, junctions, and gene counts passed in every pair	benchmarks/labs/A05/20260723/uncompressed-96-three-pair-exact-20260723T182707Z/pairs.tsv
LAB-A05-009	boundary_a02_and_a05_median_wall_times	74.62 / 63.97	seconds	Same public corpus and storage, uncompressed FASTQ, 64 logical CPUs, three seeded order-balanced pairs	Replicated test at the automatic activation boundary	benchmarks/labs/A05/20260723/uncompressed-64-three-pair-exact-20260723T190646Z/result.json
LAB-A05-010	boundary_median_paired_improvement	14.2723	percent	Same three order-balanced 64-thread pairs	Passes the predeclared performance, variability, RSS, and correctness gates	benchmarks/labs/A05/20260723/uncompressed-64-three-pair-exact-20260723T190646Z/result.json
LAB-A05-011	boundary_bootstrap_95_interval	11.2874 to 15.9863	percent	Same three order-balanced 64-thread pairs	Paired bootstrap interval over the three measured improvements	benchmarks/labs/A05/20260723/uncompressed-64-three-pair-exact-20260723T190646Z/result.json
LAB-A05-012	boundary_baseline_and_candidate_cv	2.9608 / 0.2280	percent	Same three order-balanced 64-thread pairs	Both arms pass the predeclared 3 percent replicate-variability gate	benchmarks/labs/A05/20260723/uncompressed-64-three-pair-exact-20260723T190646Z/result.json
LAB-A05-013	boundary_correctness_comparisons	3/3	pair comparisons	Same three order-balanced 64-thread pairs	Timing-independent metrics, junctions, and gene counts passed in every pair	benchmarks/labs/A05/20260723/uncompressed-64-three-pair-exact-20260723T190646Z/pairs.tsv
LAB-A05-014	compressed_a02_and_a05_median_wall_times	78.31 / 62.25	seconds	Same public corpus through zcat on local SSD, 96 logical CPUs, five seeded order-balanced pairs	Supportive generalization; not a formal accepted performance gate	benchmarks/labs/A05/20260723/compressed-96-five-pair-exact-20260723T184122Z/result.json
LAB-A05-015	compressed_median_paired_improvement	20.6697	percent	Same five order-balanced compressed-input pairs	Supportive only because the A02 control failed the predeclared variability gate	benchmarks/labs/A05/20260723/compressed-96-five-pair-exact-20260723T184122Z/result.json
LAB-A05-016	compressed_bootstrap_95_interval	12.6284 to 22.6516	percent	Same five order-balanced compressed-input pairs	Supportive paired interval; performance gate is not accepted	benchmarks/labs/A05/20260723/compressed-96-five-pair-exact-20260723T184122Z/result.json
LAB-A05-017	compressed_baseline_and_candidate_cv	4.2820 / 1.2459	percent	Same five order-balanced compressed-input pairs	A02 control exceeded the predeclared 3 percent arm-CV gate; gate was not relaxed	benchmarks/labs/A05/20260723/compressed-96-five-pair-exact-20260723T184122Z/result.json
LAB-A05-018	compressed_correctness_comparisons	5/5	pair comparisons	Same five order-balanced compressed-input pairs	Timing-independent metrics, junctions, and gene counts passed in every pair	benchmarks/labs/A05/20260723/compressed-96-five-pair-exact-20260723T184122Z/pairs.tsv
LAB-A05-019	unsorted_bam_correctness_checks	5/5	checks	First 2,000,000 public read pairs, unsorted BAM output, 96 logical CPUs	Timing-independent metrics, junctions, counts, BAM presence, and canonical records passed	benchmarks/labs/A05/20260723/unsorted-bam-2m-one-pair-exact-20260723T1900Z/pair-01-comparison.json
LAB-A05-020	canonical_bam_record_sha256	e3f67bccb149277f6f9673e204071b80afab5021c8182028ec17678cdbc750ac	sha256	Same unsorted-BAM differential check	Baseline and candidate canonical record digests were identical	benchmarks/labs/A05/20260723/unsorted-bam-2m-one-pair-exact-20260723T1900Z/pair-01-comparison.json
LAB-A05-021	below_threshold_default_fallback	1/1	checks	First 250,000 public read pairs, 48 logical CPUs	Auto selected Default with below-thread-threshold reason and matched explicit Default outputs	benchmarks/labs/A05/20260723/threshold-48-auto-exact-20260723T1921Z/star.Log.out; benchmarks/labs/A05/20260723/threshold-48-default-exact-20260723T1922Z/star.Log.out
