claim_id	metric	value	unit	scope	qualification	source_record
LAB-A02-011	threshold_support_64_thread_bracket_midpoint_improvement	9.1824	percent	GRCh38, 12,768,316 public paired reads, uncompressed FASTQ on local NVMe, 64 logical CPUs	Descriptive bracket supporting the 64-thread activation boundary; one candidate run between two legacy controls	benchmarks/labs/A02/adaptive-chunks-20260723/A02-chunk-full-64-20260723T090036Z/summary.tsv
LAB-A02-012	primary_h01_median_wall_time	70.88	seconds	GRCh38, 12,768,316 public paired reads, uncompressed FASTQ on local NVMe, 96 logical CPUs, three order-balanced pairs	Clean H01 runtime parent; OpenMP binding unset	benchmarks/labs/A02/adaptive-chunks-20260723/A02-candidate-three-pair-20260723T091602Z/result.json
LAB-A02-013	primary_a02_median_wall_time	61.47	seconds	Same three order-balanced full-corpus pairs	Exact candidate commit a438a4f55b855c42c04c89cc52bbc7f082547620	benchmarks/labs/A02/adaptive-chunks-20260723/A02-candidate-three-pair-20260723T091602Z/result.json
LAB-A02-014	primary_median_paired_improvement	13.4143	percent	Same three order-balanced full-corpus pairs	Passes the predeclared 2 percent end-to-end performance gate	benchmarks/labs/A02/adaptive-chunks-20260723/A02-candidate-three-pair-20260723T091602Z/result.json
LAB-A02-015	primary_bootstrap_95_interval	13.0502 to 14.4110	percent	Same three order-balanced full-corpus pairs	Paired bootstrap interval over the three measured improvements	benchmarks/labs/A02/adaptive-chunks-20260723/A02-candidate-three-pair-20260723T091602Z/result.json
LAB-A02-016	primary_baseline_and_candidate_cv	0.7880 / 0.2522	percent	Same three order-balanced full-corpus pairs	Both arms pass the predeclared 3 percent replicate-variability gate	benchmarks/labs/A02/adaptive-chunks-20260723/A02-candidate-three-pair-20260723T091602Z/result.json
LAB-A02-017	primary_median_rss_change	-6.7721	percent	Same three order-balanced full-corpus pairs	Negative is lower candidate peak RSS; passes the no-more-than-5-percent-increase gate	benchmarks/labs/A02/adaptive-chunks-20260723/A02-candidate-three-pair-20260723T091602Z/result.json
LAB-A02-018	primary_correctness_comparisons	3/3	pair comparisons	Same three order-balanced full-corpus pairs	Timing-independent metrics, junctions, and gene counts passed in every pair	benchmarks/labs/A02/adaptive-chunks-20260723/A02-candidate-three-pair-20260723T091602Z/pairs.tsv
LAB-A02-019	compressed_h01_median_wall_time	71.68	seconds	Same public corpus through zcat on local NVMe, 96 logical CPUs, three order-balanced pairs	Compressed-input runtime parent	benchmarks/labs/A02/adaptive-chunks-20260723/A02-candidate-compressed-three-pair-20260723T093042Z/result.json
LAB-A02-020	compressed_a02_median_wall_time	65.37	seconds	Same three order-balanced compressed-input pairs	Exact candidate commit a438a4f55b855c42c04c89cc52bbc7f082547620	benchmarks/labs/A02/adaptive-chunks-20260723/A02-candidate-compressed-three-pair-20260723T093042Z/result.json
LAB-A02-021	compressed_median_paired_improvement	8.7394	percent	Same three order-balanced compressed-input pairs	Passes the predeclared end-to-end, replicate, RSS, and correctness gates	benchmarks/labs/A02/adaptive-chunks-20260723/A02-candidate-compressed-three-pair-20260723T093042Z/result.json
LAB-A02-022	compressed_bootstrap_95_interval	8.7054 to 10.4327	percent	Same three order-balanced compressed-input pairs	Paired bootstrap interval over the three measured improvements	benchmarks/labs/A02/adaptive-chunks-20260723/A02-candidate-compressed-three-pair-20260723T093042Z/result.json
LAB-A02-023	compressed_correctness_comparisons	3/3	pair comparisons	Same three order-balanced compressed-input pairs	Timing-independent metrics, junctions, and gene counts passed in every pair	benchmarks/labs/A02/adaptive-chunks-20260723/A02-candidate-compressed-three-pair-20260723T093042Z/pairs.tsv
LAB-A02-024	unsorted_bam_correctness_checks	5/5	checks	First 2,000,000 public read pairs, unsorted BAM output, 96 logical CPUs	Timing-independent metrics, junctions, counts, BAM presence, and canonical BAM records passed	benchmarks/labs/A02/adaptive-chunks-20260723/A02-bam-safety-20260723T094548Z/comparison.json
LAB-A02-025	canonical_bam_record_sha256	e3f67bccb149277f6f9673e204071b80afab5021c8182028ec17678cdbc750ac	sha256	Same unsorted-BAM differential check	Baseline and candidate canonical record digests were identical	benchmarks/labs/A02/adaptive-chunks-20260723/A02-bam-safety-20260723T094548Z/comparison.json
LAB-A02-026	unsorted_bam_descriptive_wall_times	51.28 / 46.62	seconds	Same unsorted-BAM differential check; H01 then A02	Descriptive safety measurement only; fixed order and one comparison do not support a performance claim	benchmarks/labs/A02/adaptive-chunks-20260723/A02-bam-safety-20260723T094548Z/summary.tsv
