claim_id	metric	value	unit	scope	qualification	source_record
LAB-A06-001	accepted_candidate_binary_sha256	f1206614f6f4984353f96224f7e414a4a803703af448eb2e4d7296704e5fe632	sha256	Exact optimized A06 binary built from commit 6032393155317b17fef1750672f1da6770ae6042	Fixes candidate identity for every A06 differential gate	benchmarks/labs/A06/20260723/uncompressed-96-five-pair-confirmation-20260723T205057Z/contract.json
LAB-A06-002	pre_change_transcript_copy_cpu	351.957	CPU seconds	GRCh38, 12,768,316 public paired reads, uncompressed FASTQ on local SSD, 96 logical CPUs, symbolized A05 diagnostic build	Single instrumented run for mechanism attribution; not a wall-time claim	benchmarks/labs/A06-profile/20260723/pre-a05-full-gprofng-20260723T195109Z/gprofng-functions.txt
LAB-A06-003	post_change_transcript_copy_cpu	225.353	CPU seconds	Same public workload and symbolized A06 diagnostic build	Single instrumented run for mechanism attribution; not a wall-time claim	benchmarks/labs/A06-profile/20260723/full-gprofng-post-20260723T202745Z/gprofng-functions.txt
LAB-A06-004	transcript_copy_cpu_reduction	35.9714	percent	Same before-and-after diagnostic profiles	Derived from exclusive CPU seconds; supports the intended mechanism	benchmarks/labs/A06-profile/20260723/pre-a05-full-gprofng-20260723T195109Z/gprofng-functions.txt; benchmarks/labs/A06-profile/20260723/full-gprofng-post-20260723T202745Z/gprofng-functions.txt
LAB-A06-005	pre_and_post_transcript_copy_cpu_share	10.90 / 7.76	percent	Same before-and-after diagnostic profiles	Exclusive sampled CPU share; mechanism attribution only	benchmarks/labs/A06-profile/20260723/pre-a05-full-gprofng-20260723T195109Z/gprofng-functions.txt; benchmarks/labs/A06-profile/20260723/full-gprofng-post-20260723T202745Z/gprofng-functions.txt
LAB-A06-006	pre_and_post_total_profiled_cpu	3229.911 / 2904.594	CPU seconds	Same before-and-after diagnostic profiles	Single-run total sampled CPU; supportive and not an accepted speed claim	benchmarks/labs/A06-profile/20260723/pre-a05-full-gprofng-20260723T195109Z/gprofng-functions.txt; benchmarks/labs/A06-profile/20260723/full-gprofng-post-20260723T202745Z/gprofng-functions.txt
LAB-A06-007	quiet_qualified_a05_and_a06_median_wall_times	57.39 / 55.97	seconds	GRCh38, 12,768,316 public paired reads, uncompressed FASTQ on local SSD, 96 logical CPUs, three seeded order-balanced pairs	Initial predeclared gate after a recorded five-minute quiet-system qualification	benchmarks/labs/A06/20260723/uncompressed-96-three-pair-20260723T200941Z/result.json
LAB-A06-008	quiet_qualified_median_paired_improvement	2.4743	percent	Same three order-balanced full-corpus pairs	Passes the 2 percent practical performance gate	benchmarks/labs/A06/20260723/uncompressed-96-three-pair-20260723T200941Z/result.json
LAB-A06-009	quiet_qualified_bootstrap_95_interval	1.8587 to 2.7517	percent	Same three order-balanced full-corpus pairs	Positive paired interval; followed by a five-pair small-effect confirmation	benchmarks/labs/A06/20260723/uncompressed-96-three-pair-20260723T200941Z/result.json
LAB-A06-010	quiet_qualified_baseline_and_candidate_cv	0.3789 / 0.1342	percent	Same three order-balanced full-corpus pairs	Both arms pass the 3 percent variability gate	benchmarks/labs/A06/20260723/uncompressed-96-three-pair-20260723T200941Z/result.json
