claim_id	metric	value	unit	scope	qualification	source_record
LAB-Q02-001	current_candidate_binary_sha256	297db5482236d970b2b19fed6016c1f9981d973fdbd6784a1700f1a7bba40635	sha256	Clean archive-derived candidate at ef2a256 used for TranscriptomeSAM and exclusive single-end qualification	Exact candidate identity; OpenMP linked	docs/benchmarks/Q02-cross-workload-20260726/qualification-receipt.tsv
LAB-Q02-002	phase_candidate_binary_sha256	fb82a5cf2fb0fdd285f9d211045d3b11ad0d5a91d360bda3874c639dc6848489	sha256	Candidate used for paired, two-pass, BySJout, chimeric, sorted-BAM, and STARsolo series	Current source changes after this binary affect TranscriptomeSAM selection and benchmark code, not these measured runtime paths	docs/benchmarks/Q02-cross-workload-20260726/qualification-receipt.tsv
LAB-Q02-003	paired_76_upstream_and_candidate_median_wall_times	72.02 / 58.02	seconds	12,768,316 paired 76-base public reads; GRCh38 and Ensembl 114; 96 threads; local storage; five order-balanced pairs	Compatibility gate passed; all five mode-specific output comparisons passed	docs/benchmarks/Q02-cross-workload-20260726/results/paired76/result.json
LAB-Q02-004	paired_76_median_paired_improvement_and_interval	20.0490; 16.3245 to 23.9581	percent	Same paired 76-base series	Positive interval; upstream CV 4.0964 percent exceeds the separate 3 percent Labs speed-claim preference	docs/benchmarks/Q02-cross-workload-20260726/results/paired76/result.json
LAB-Q02-005	paired_150_upstream_and_candidate_median_wall_times	89.77 / 78.66	seconds	Public paired 150-base fragmented RNA-seq reads; common index; 96 threads; local storage; three order-balanced pairs	Compatibility, variability, resource, correctness, and interval gates passed	docs/benchmarks/Q02-cross-workload-20260726/results/paired150/result.json
LAB-Q02-006	paired_150_median_paired_improvement_and_interval	12.6724; 11.3846 to 13.4558	percent	Same paired 150-base series	Positive interval and both arm CV values below 1.5 percent	docs/benchmarks/Q02-cross-workload-20260726/results/paired150/result.json
LAB-Q02-007	single_150_upstream_and_candidate_median_wall_times	61.52 / 58.95	seconds	Public single-end 150-base reads; common index; 96 threads; dedicated node-local SSD; five order-balanced pairs	Correctness, RSS, pair-count, and 2 percent noninferiority gates passed	docs/benchmarks/Q02-cross-workload-20260726/results/single150/result.json
LAB-Q02-008	single_150_median_paired_improvement_and_interval	1.6702; -1.8743 to 13.4227	percent	Same exclusive-node single-end series	No speed claim; candidate CV 5.2171 percent exceeded the 5 percent compatibility threshold, so the aggregate result was not accepted	docs/benchmarks/Q02-cross-workload-20260726/results/single150/result.json
LAB-Q02-009	two_pass_upstream_and_candidate_median_wall_times	223.91 / 177.05	seconds	Full public paired 76-base corpus; Basic two-pass; 96 threads; three order-balanced pairs	Compatibility gate and all three output comparisons passed	docs/benchmarks/Q02-cross-workload-20260726/results/two-pass/result.json
LAB-Q02-010	two_pass_median_paired_improvement_and_interval	20.2527; 15.4366 to 20.9281	percent	Same two-pass series	Positive interval; upstream CV 4.4695 percent exceeds the separate 3 percent Labs speed-claim preference	docs/benchmarks/Q02-cross-workload-20260726/results/two-pass/result.json
LAB-Q02-011	bysjout_upstream_and_candidate_median_wall_times	91.36 / 62.16	seconds	Full public paired 76-base corpus; BySJout; 96 threads; three order-balanced pairs	All gates and all three output comparisons passed	docs/benchmarks/Q02-cross-workload-20260726/results/bysjout/result.json
LAB-Q02-012	bysjout_median_paired_improvement_and_interval	31.4513; 31.2172 to 35.6395	percent	Same BySJout series	Positive interval; both arm CV values below 3 percent	docs/benchmarks/Q02-cross-workload-20260726/results/bysjout/result.json
LAB-Q02-013	chimeric_upstream_and_candidate_median_wall_times	89.55 / 60.09	seconds	Full public paired 76-base corpus; chimeric detection; 96 threads; three order-balanced pairs	All gates, canonical chimeric records, junctions, counts, and metrics passed	docs/benchmarks/Q02-cross-workload-20260726/results/chimeric/result.json
LAB-Q02-014	chimeric_median_paired_improvement_and_interval	31.7588; 30.9786 to 34.0002	percent	Same chimeric series	Positive interval; both arm CV values below 2 percent	docs/benchmarks/Q02-cross-workload-20260726/results/chimeric/result.json
LAB-Q02-015	sorted_bam_upstream_and_candidate_median_wall_times	106.56 / 85.31	seconds	Full public paired 76-base corpus; coordinate-sorted BAM; 96 threads; five order-balanced pairs	Compatibility gate and all five canonical BAM comparisons passed	docs/benchmarks/Q02-cross-workload-20260726/results/sorted-bam/result.json
LAB-Q02-016	sorted_bam_median_paired_improvement_and_interval	18.4215; 16.9328 to 24.2640	percent	Same five-pair sorted-BAM series	Positive interval; upstream CV 3.7973 percent exceeds the separate 3 percent Labs speed-claim preference	docs/benchmarks/Q02-cross-workload-20260726/results/sorted-bam/result.json
LAB-Q02-017	transcriptome_bam_upstream_and_candidate_median_wall_times	217.33 / 213.58	seconds	Full public paired 76-base corpus; genomic and TranscriptomeSAM BAM; 96 threads; three order-balanced pairs	Accepted noninferiority with 3.8239 percent lower candidate peak RSS; no speed claim	docs/benchmarks/Q02-cross-workload-20260726/results/transcriptome/result.json
LAB-Q02-018	transcriptome_bam_median_paired_improvement_and_interval	1.5506; -0.4468 to 2.6291	percent	Same TranscriptomeSAM series	Interval crosses zero; all biological alignment sets, genomic BAMs, counts, junctions, and metrics matched	docs/benchmarks/Q02-cross-workload-20260726/results/transcriptome/result.json
LAB-Q02-019	candidate_transcriptome_primary_digest	a993252b865e62ce17a6f2bb594187e69e1e869e1f5f679ba62dd00f37ca61dc	sha256	Full-corpus warmup and three measured current-candidate runs at 96 threads	Exact raw primary and secondary flags across 4/4 candidate runs	docs/benchmarks/Q02-cross-workload-20260726/results/transcriptome/result.json
LAB-Q02-020	candidate_transcriptome_thread_count_primary_digests	f9f1417857e57087d5ffc260a7ff5ee5740c746a070b15acad842d85bb2c9091 / same	sha256	Public 250,000-pair subset at 1 and 96 threads	Candidate raw transcriptome records and primary flags were exact across thread counts	docs/benchmarks/Q02-cross-workload-20260726/results/transcriptome-thread-invariance/result.json
LAB-Q02-021	upstream_transcriptome_thread_count_primary_digests	903a7e8b900ad928c3e90b3c50e89f4f5ed53ac93211402ec64d38f419e03827 / b6b772c7b04b1cca7b5de4b7e0eb4e3a314e3bd8e4c1d83fd0314fe15ccdbb86	sha256	Same public subset under official STAR at 1 and 96 threads	Controlled reproduction of inherited worker-dependent primary-flag selection	docs/benchmarks/Q02-cross-workload-20260726/results/transcriptome-thread-invariance/result.json
LAB-Q02-022	transcriptome_thread_count_alignment_set_digest	5672c7e1447d4e4900cef79dc063e74caac1c90e72140583d1661e5df993dd86	sha256	Official STAR and BlackSTAR at 1 and 96 threads after clearing only SAM flag 0x100	All four transcript alignment sets were exact; genomic BAM, counts, junctions, and metrics also matched	docs/benchmarks/Q02-cross-workload-20260726/results/transcriptome-thread-invariance/result.json
LAB-Q02-023	starsolo_upstream_and_candidate_median_wall_times	153.45 / 149.23	seconds	Public 10x Genomics v3 fixture; Gene feature; 96 threads; three order-balanced pairs	Accepted noninferiority and exact STARsolo file tree; no speed claim	docs/benchmarks/Q02-cross-workload-20260726/results/starsolo/result.json
LAB-Q02-024	starsolo_median_paired_improvement_and_interval	3.7800; -1.4337 to 10.4853	percent	Same STARsolo series	Interval crosses zero; superiority not established	docs/benchmarks/Q02-cross-workload-20260726/results/starsolo/result.json
LAB-Q02-025	starlong_upstream_and_candidate_median_wall_times	72.79 / 58.61	seconds	Public direct-RNA long-read fixture; 96 threads; three order-balanced pairs; seedPerReadNmax 100000 in both arms	Compatibility, variability, resource, correctness, and interval gates passed	docs/benchmarks/Q02-cross-workload-20260726/results/starlong/result.json
LAB-Q02-026	starlong_median_paired_improvement_and_interval	19.4807; 17.1073 to 22.3805	percent	Same STARlong series	Positive interval; canonical SAM records exact in all three pairs	docs/benchmarks/Q02-cross-workload-20260726/results/starlong/result.json
LAB-Q02-027	mode_specific_pair_correctness	36/36	pair comparisons	Ten public workload series including the nonaccepted single-end timing series	Every pair passed its applicable metrics, junction, count, SAM, BAM, chimeric, or STARsolo output oracle	docs/benchmarks/Q02-cross-workload-20260726/qualification-receipt.tsv
LAB-Q02-028	specialized_mode_compatibility_matrix	12/12	checks	Synthetic fragmented paired, TranscriptomeSAM, counts, two-pass, BySJout, chimeric, WASP, STARsolo, SAM input, shared lifecycle, and transformed-genome paths	Current clean candidate matched the official STAR oracle where applicable	docs/benchmarks/Q02-cross-workload-20260726/qualification-receipt.tsv
LAB-Q02-029	focused_sanitizer_matrix	11/11	scripts	Affinity, NUMA, read chunks, transcriptome primary selection, cgroup memory, packed arrays, suffix comparison, transcript initialization, parameters, junctions, and SHA-256	All focused ASan and UBSan scripts passed on the current source	docs/benchmarks/Q02-cross-workload-20260726/qualification-receipt.tsv
LAB-Q02-030	initial_sorted_bam_series_variability	6.5935 / 1.6776	percent	Initial three-pair coordinate-sorted BAM series	Rejected for upstream-arm variability; replaced by the retained five-pair series	docs/benchmarks/Q02-cross-workload-20260726/qualification-receipt.tsv
LAB-Q02-031	superseded_shared_host_single_end_improvement_and_cv	22.5487; 7.6146 / 6.4056	percent	Five-pair single-end series on a shared host	Rejected for both-arm variability and superseded by the exclusive-node result; must not be cited as a speed gain	docs/benchmarks/Q02-cross-workload-20260726/qualification-receipt.tsv
LAB-Q02-032	single_end_32_thread_improvement_and_interval	-1.9858; -4.0090 to 6.0157	percent	Public single-end 150-base reads; 32 threads; five order-balanced pairs	No gain and 2 percent noninferiority not established; prevents generalization across thread counts	docs/benchmarks/Q02-cross-workload-20260726/qualification-receipt.tsv
LAB-Q02-033	starlong_default_seed_limit	fail	status	Public direct-RNA fixture under inherited default seedPerReadNmax	Both official STARlong and BlackSTAR STARlong abort; the accepted symmetric benchmark used 100000	docs/benchmarks/Q02-cross-workload-20260726/qualification-receipt.tsv
