claim_id	metric	value	unit	scope	qualification	source_record
LAB-A00-010	release_unbound_full_median_wall_time	71.35	seconds	GRCh38, 12,768,316 public paired reads, uncompressed FASTQ on local NVMe, 96 logical CPUs, three release replicates	Corrected Labs baseline; OpenMP binding unset	benchmarks/labs/A00/corrected-unbound-full-20260723
LAB-A00-011	release_unbound_full_wall_time_cv	0.1641	percent	same three corrected release replicates	Descriptive repeatability	benchmarks/labs/A00/corrected-unbound-full-20260723
LAB-A00-012	release_unbound_full_mean_cpu_use	4141.33	percent	same three corrected release replicates	Descriptive occupancy; not a speed claim	benchmarks/labs/A00/corrected-unbound-full-20260723
LAB-A00-013	invalidated_to_corrected_wall_time_ratio	16.81	fold	historical 1199.38-second affinity-pinned median divided by corrected 71.35-second median	Cross-series diagnostic ratio; not a code speedup	alignment-A00-A01-20260723.tsv and corrected A00 evidence
LAB-A00-014	release_unbound_full_compressed_median_wall_time	72.15	seconds	GRCh38, 12,768,316 public paired reads, gzip through zcat on local NVMe, 96 logical CPUs, three release replicates	Corrected Labs baseline; OpenMP binding unset	benchmarks/labs/A00/corrected-unbound-full-compressed-20260723
LAB-A00-015	release_unbound_full_compressed_wall_time_cv	0.4908	percent	same three corrected compressed release replicates	Descriptive repeatability	benchmarks/labs/A00/corrected-unbound-full-compressed-20260723
LAB-A00-016	release_unbound_full_compressed_mean_cpu_use	3493.00	percent	same three corrected compressed release replicates	Descriptive occupancy; not a speed claim	benchmarks/labs/A00/corrected-unbound-full-compressed-20260723
LAB-A00-017	invalidated_compressed_to_corrected_wall_time_ratio	16.9860	fold	historical 1225.54-second affinity-pinned median divided by corrected 72.15-second median	Cross-series diagnostic ratio; not a code speedup	alignment-A00-A01-20260723.tsv and corrected A00 evidence
LAB-A00-018	compressed_vs_uncompressed_median_delta	1.1212	percent	corrected compressed 72.15-second median versus uncompressed 71.35-second median	Descriptive input-path difference; not an optimization claim	benchmarks/labs/A00/corrected-unbound-full-20260723 and corrected-unbound-full-compressed-20260723
LAB-A00-019	corrected_output_identity	6/6	runs	three corrected compressed and three corrected uncompressed release runs	Gene-count and splice-junction SHA-256 values were identical across all runs	benchmarks/labs/A00/corrected-unbound-full-20260723 and corrected-unbound-full-compressed-20260723
LAB-A02-001	bound_worker_affinity_cpu_count	2	logical CPUs	2,000,000 public pairs, qualified release behavior, OMP_PROC_BIND=close and OMP_PLACES=cores, 96 requested threads	All 96 pthread workers inherited the same one-core SMT place	benchmarks/labs/A02/affinity-attribution-20260723/A02-affinity-close-20260723T0634Z
LAB-A02-002	unbound_worker_affinity_cpu_count	96	logical CPUs	same binary, reads, index, allocation, and thread count with binding variables unset	All 96 pthread workers inherited the full allocation	benchmarks/labs/A02/affinity-attribution-20260723/A02-affinity-unset-20260723T0633Z
