claim_id	metric	value	unit	scope	qualification	source_record
LAB-A00-001	release_compressed_median_wall_time	1225.54	seconds	GRCh38, 12,768,316 public paired reads, gzip through zcat, 96 requested threads, OMP_PROC_BIND=close and OMP_PLACES=cores	Invalidated historical baseline; pthread workers inherited one two-CPU OpenMP place	A01/20260723T011120Z-compressed-operational/result.json
LAB-A00-002	release_uncompressed_median_wall_time	1199.38	seconds	same public reads and binding environment, uncompressed FASTQ on local NVMe	Invalidated historical baseline; replaced by LAB-A00-010	A01/20260723T033006Z-uncompressed-alignment/result.json
LAB-A00-003	release_uncompressed_mean_cpu_use	197	percent	same affinity-pinned uncompressed series	Diagnostic symptom of inherited binding; not application occupancy evidence	A01/20260723T033006Z-uncompressed-alignment/time.txt
LAB-A00-004	allocation_control_cpu_use	9585	percent	96-process compute control in the same allocation	Demonstrates allocation capacity; not a STAR benchmark	A00/cpu-saturation.time
LAB-A00-005	profile_input_reads	2000000	paired reads	uncompressed public subset, mapping-only, compile-time gprof build	Directional profile; pthread call counts excluded	A00/20260723T0550Z-gprof-2000000/Log.final.out
LAB-A00-006	compareSeqToGenome_sampled_self_time	17.44	percent	2,000,000-pair directional gprof run	Sampled active CPU only; mutex waits excluded	A00/20260723T0550Z-gprof-2000000/gprof-flat.txt
LAB-A00-007	transcript_copy_sampled_self_time	14.00	percent	same directional gprof run	Sampled active CPU only; mutex waits excluded	A00/20260723T0550Z-gprof-2000000/gprof-flat.txt
LAB-A00-008	SAvalue_sampled_self_time	11.62	percent	same directional gprof run	Sampled active CPU only; mutex waits excluded	A00/20260723T0550Z-gprof-2000000/gprof-flat.txt
LAB-A00-009	createExtendWindowsWithAlign_sampled_self_time	0.98	percent	same directional gprof run	Sampled active CPU only; mutex waits excluded	A00/20260723T0550Z-gprof-2000000/gprof-flat.txt
LAB-A01-001	compressed_median_improvement	-0.8597	percent	GRCh38, 12,768,316 public paired reads, gzip through zcat, shared affinity-pinned environment, three order-balanced pairs	Invalidated operational effect size; retained as historical experiment evidence	A01/20260723T011120Z-compressed-operational/result.json
LAB-A01-002	uncompressed_median_improvement	-0.5620	percent	same public reads and affinity-pinned environment, uncompressed FASTQ on local NVMe	Invalidated operational effect size; retained as historical experiment evidence	A01/20260723T033006Z-uncompressed-alignment/result.json
LAB-A01-003	measured_pair_correctness	6/6	pair comparisons	three compressed and three uncompressed baseline-candidate pairs	All canonical output comparisons passed	A01/20260723T011120Z-and-20260723T033006Z/pairs.tsv
